"initial_alias","converted_alias","name","description","namespace"
"1/2-SBSRNA4","","","",""
"A1BG","ENSG00000121410","A1BG","alpha-1-B glycoprotein [Source:HGNC Symbol;Acc:HGNC:5]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"A1BG-AS1","ENSG00000268895","A1BG-AS1","A1BG antisense RNA 1 [Source:HGNC Symbol;Acc:HGNC:37133]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"A1CF","ENSG00000148584","A1CF","APOBEC1 complementation factor [Source:HGNC Symbol;Acc:HGNC:24086]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"A2LD1","","","",""
"A2M","ENSG00000175899","A2M","alpha-2-macroglobulin [Source:HGNC Symbol;Acc:HGNC:7]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"A2ML1","ENSG00000166535","A2ML1","alpha-2-macroglobulin like 1 [Source:HGNC Symbol;Acc:HGNC:23336]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"A4GNT","ENSG00000118017","A4GNT","alpha-1,4-N-acetylglucosaminyltransferase [Source:HGNC Symbol;Acc:HGNC:17968]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAAS","ENSG00000094914","AAAS","aladin WD repeat nucleoporin [Source:HGNC Symbol;Acc:HGNC:13666]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AACS","ENSG00000081760","AACS","acetoacetyl-CoA synthetase [Source:HGNC Symbol;Acc:HGNC:21298]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AADAC","ENSG00000114771","AADAC","arylacetamide deacetylase [Source:HGNC Symbol;Acc:HGNC:17]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAGAB","ENSG00000103591","AAGAB","alpha and gamma adaptin binding protein [Source:HGNC Symbol;Acc:HGNC:25662]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAK1","ENSG00000115977","AAK1","AP2 associated kinase 1 [Source:HGNC Symbol;Acc:HGNC:19679]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AAMP","ENSG00000127837","AAMP","angio associated migratory cell protein [Source:HGNC Symbol;Acc:HGNC:18]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AANAT","ENSG00000129673","AANAT","aralkylamine N-acetyltransferase [Source:HGNC Symbol;Acc:HGNC:19]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARS","","","",""
"AARS2","ENSG00000124608","AARS2","alanyl-tRNA synthetase 2, mitochondrial [Source:HGNC Symbol;Acc:HGNC:21022]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARSD1","ENSG00000266967","AARSD1","alanyl-tRNA synthetase domain containing 1 [Source:HGNC Symbol;Acc:HGNC:28417]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AARSD1","ENSG00000108825","PTGES3L-AARSD1","PTGES3L-AARSD1 readthrough [Source:HGNC Symbol;Acc:HGNC:43946]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AASDH","ENSG00000157426","AASDH","aminoadipate-semialdehyde dehydrogenase [Source:HGNC Symbol;Acc:HGNC:23993]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AASDHPPT","ENSG00000149313","AASDHPPT","aminoadipate-semialdehyde dehydrogenase-phosphopantetheinyl transferase [Source:HGNC Symbol;Acc:HGNC:14235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AASS","ENSG00000008311","AASS","aminoadipate-semialdehyde synthase [Source:HGNC Symbol;Acc:HGNC:17366]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATF","ENSG00000275700","AATF","apoptosis antagonizing transcription factor [Source:HGNC Symbol;Acc:HGNC:19235]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"AATK","ENSG00000181409","AATK","apoptosis associated tyrosine kinase [Source:HGNC Symbol;Acc:HGNC:21]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABAT","ENSG00000183044","ABAT","4-aminobutyrate aminotransferase [Source:HGNC Symbol;Acc:HGNC:23]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA1","ENSG00000165029","ABCA1","ATP binding cassette subfamily A member 1 [Source:HGNC Symbol;Acc:HGNC:29]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA11P","ENSG00000293360","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene [Source:NCBI gene (formerly Entrezgene);Acc:79963]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ABCA11P","ENSG00000251595","ABCA11P","ATP binding cassette subfamily A member 11, pseudogene [Source:HGNC Symbol;Acc:HGNC:31]","ENTREZGENE,GENECARDS,HGNC,WIKIGENE"
"ABCA12","ENSG00000144452","ABCA12","ATP binding cassette subfamily A member 12 [Source:HGNC Symbol;Acc:HGNC:14637]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA13","ENSG00000179869","ABCA13","ATP binding cassette subfamily A member 13 [Source:HGNC Symbol;Acc:HGNC:14638]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA3","ENSG00000167972","ABCA3","ATP binding cassette subfamily A member 3 [Source:HGNC Symbol;Acc:HGNC:33]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA4","ENSG00000198691","ABCA4","ATP binding cassette subfamily A member 4 [Source:HGNC Symbol;Acc:HGNC:34]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA5","ENSG00000154265","ABCA5","ATP binding cassette subfamily A member 5 [Source:HGNC Symbol;Acc:HGNC:35]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA6","ENSG00000154262","ABCA6","ATP binding cassette subfamily A member 6 [Source:HGNC Symbol;Acc:HGNC:36]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA7","ENSG00000064687","ABCA7","ATP binding cassette subfamily A member 7 [Source:HGNC Symbol;Acc:HGNC:37]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA8","ENSG00000141338","ABCA8","ATP binding cassette subfamily A member 8 [Source:HGNC Symbol;Acc:HGNC:38]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCA9","ENSG00000154258","ABCA9","ATP binding cassette subfamily A member 9 [Source:HGNC Symbol;Acc:HGNC:39]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB1","ENSG00000085563","ABCB1","ATP binding cassette subfamily B member 1 [Source:HGNC Symbol;Acc:HGNC:40]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB10","ENSG00000135776","ABCB10","ATP binding cassette subfamily B member 10 [Source:HGNC Symbol;Acc:HGNC:41]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB11","ENSG00000073734","ABCB11","ATP binding cassette subfamily B member 11 [Source:HGNC Symbol;Acc:HGNC:42]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB5","ENSG00000004846","ABCB5","ATP binding cassette subfamily B member 5 [Source:HGNC Symbol;Acc:HGNC:46]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB6","ENSG00000115657","ABCB6","ATP binding cassette subfamily B member 6 (LAN blood group) [Source:HGNC Symbol;Acc:HGNC:47]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB7","ENSG00000131269","ABCB7","ATP binding cassette subfamily B member 7 [Source:HGNC Symbol;Acc:HGNC:48]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
"ABCB8","ENSG00000197150","ABCB8","ATP binding cassette subfamily B member 8 [Source:HGNC Symbol;Acc:HGNC:49]","ENTREZGENE,GENECARDS,HGNC,UNIPROT_GN,WIKIGENE"
